pmid,year,mesh,meshTreeNumber
19124948,2009-01-06T00:00:00,Algorithms,G17.035
19124948,2009-01-06T00:00:00,Algorithms,L01.224.050
19124948,2009-01-06T00:00:00,Animals,B01.050
19124948,2009-01-06T00:00:00,Computer Simulation,L01.224.160
19124948,2009-01-06T00:00:00,Finite Element Analysis,E05.355
19124948,2009-01-06T00:00:00,Hepatectomy,E04.210.556
19124948,2009-01-06T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19124948,2009-01-06T00:00:00,Liver,A03.620
19124948,2009-01-06T00:00:00,"Models, Biological",E05.599.395
19124948,2009-01-06T00:00:00,"Models, Statistical",E05.318.740.500
19124948,2009-01-06T00:00:00,"Models, Statistical",E05.599.835
19124948,2009-01-06T00:00:00,"Models, Statistical",N05.715.360.750.530
19124948,2009-01-06T00:00:00,"Models, Statistical",N06.850.520.830.500
19124948,2009-01-06T00:00:00,"Surgery, Computer-Assisted",E02.950.875
19124948,2009-01-06T00:00:00,"Surgery, Computer-Assisted",E04.749
19124948,2009-01-06T00:00:00,"Surgery, Computer-Assisted",L01.700.508.100.710.800
19185566,2009-01-06T00:00:00,Antihypertensive Agents,D27.505.954.411.162
19185566,2009-01-06T00:00:00,Cell Line,A11.251.210
19185566,2009-01-06T00:00:00,Genetic Variation,G05.365
19185566,2009-01-06T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19185566,2009-01-06T00:00:00,Mutation,G05.365.590
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C10.228.140.163.100.680.100
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C10.314.400.250
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C10.597.606.643.455.124
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C16.320.322.500.124
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C16.320.400.525.124
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C16.320.565.189.680.100
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C16.320.565.663.112
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C18.452.132.100.680.100
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C18.452.648.189.680.100
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C18.452.648.663.112
19127062,2009-01-07T00:00:00,Adrenoleukodystrophy,C19.053.500.270
19127062,2009-01-07T00:00:00,Cell Line,A11.251.210
19127062,2009-01-07T00:00:00,Child,M01.060.406
19127062,2009-01-07T00:00:00,Fatty Acids,D10.251
19127062,2009-01-07T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19127062,2009-01-07T00:00:00,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D27.505.519.186.071.202.370
19127062,2009-01-07T00:00:00,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D27.505.519.389.370
19127062,2009-01-07T00:00:00,Hydroxymethylglutaryl-CoA Reductase Inhibitors,D27.505.954.230.202.370
19127062,2009-01-07T00:00:00,Interleukin-1beta,D12.644.276.374.465.501.600
19127062,2009-01-07T00:00:00,Interleukin-1beta,D12.644.276.374.500.400.600
19127062,2009-01-07T00:00:00,Interleukin-1beta,D12.776.467.374.465.501.600
19127062,2009-01-07T00:00:00,Interleukin-1beta,D12.776.467.374.500.400.600
19127062,2009-01-07T00:00:00,Interleukin-1beta,D23.529.374.465.501.600
19127062,2009-01-07T00:00:00,Interleukin-1beta,D23.529.374.500.400.600
19127062,2009-01-07T00:00:00,Lovastatin,D02.455.426.559.847.638.400
19127062,2009-01-07T00:00:00,Lovastatin,D04.615.638.400
19127062,2009-01-07T00:00:00,Lymphocytes,A11.118.637.555.567
19127062,2009-01-07T00:00:00,Lymphocytes,A15.145.229.637.555.567
19127062,2009-01-07T00:00:00,Lymphocytes,A15.382.490.555.567
19127062,2009-01-07T00:00:00,Membrane Glycoproteins,D12.776.395.550
19127062,2009-01-07T00:00:00,Membrane Glycoproteins,D12.776.543.550
19127062,2009-01-07T00:00:00,Nitric Oxide,D01.339.387
19127062,2009-01-07T00:00:00,Nitric Oxide,D01.625.550.500
19127062,2009-01-07T00:00:00,Nitric Oxide,D01.625.700.500
19127062,2009-01-07T00:00:00,Nitric Oxide,D01.650.550.587.600
19127062,2009-01-07T00:00:00,Phosphoproteins,D12.776.744
19127062,2009-01-07T00:00:00,Reactive Oxygen Species,D01.339.431
19127062,2009-01-07T00:00:00,Reactive Oxygen Species,D01.650.775
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.644.276.374.500.800
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.644.276.374.750.626
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.644.276.972.626
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.776.124.900
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.776.395.930
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.776.467.374.500.800
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.776.467.374.750.626
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D12.776.467.972.626
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D23.529.374.500.800
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D23.529.374.750.626
19127062,2009-01-07T00:00:00,Tumor Necrosis Factor-alpha,D23.529.972.626
19166836,2009-01-07T00:00:00,Adult Stem Cells,A11.872.040
19166836,2009-01-07T00:00:00,Animals,B01.050
19166836,2009-01-07T00:00:00,Antineoplastic Agents,D27.505.954.248
19166836,2009-01-07T00:00:00,Cell Differentiation,G04.299.151
19166836,2009-01-07T00:00:00,Cell Survival,G04.299.316
19166836,2009-01-07T00:00:00,Nerve Tissue Proteins,D12.776.641
19166836,2009-01-07T00:00:00,Neurons,A08.663
19166836,2009-01-07T00:00:00,Neurons,A11.671
19166836,2009-01-07T00:00:00,Rats,B01.050.150.900.649.865.635.505.700
19166836,2009-01-07T00:00:00,Time Factors,G01.910.857
19195794,2009-01-07T00:00:00,Adult,M01.060.116
19195794,2009-01-07T00:00:00,Alcoholism,C21.739.100.250
19195794,2009-01-07T00:00:00,Alcoholism,F03.900.100.350
19195794,2009-01-07T00:00:00,Ambulatory Care,E02.760.106
19195794,2009-01-07T00:00:00,Ambulatory Care,N02.421.585.106
19195794,2009-01-07T00:00:00,Anxiety,F01.470.132
19195794,2009-01-07T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19195794,2009-01-07T00:00:00,Patient Acceptance of Health Care,N05.300.150.600
19195794,2009-01-07T00:00:00,Substance-Related Disorders,C21.739
19195794,2009-01-07T00:00:00,Substance-Related Disorders,F03.900
19072163,2009-01-08T00:00:00,Amino Acid Sequence,G02.111.570.060
19072163,2009-01-08T00:00:00,Amino Acid Sequence,L01.453.245.667.060
19072163,2009-01-08T00:00:00,Animals,B01.050
19072163,2009-01-08T00:00:00,Calpain,D08.811.277.656.262.500.120
19072163,2009-01-08T00:00:00,Calpain,D08.811.277.656.300.200.120
19072163,2009-01-08T00:00:00,Cell Line,A11.251.210
19072163,2009-01-08T00:00:00,Enzyme Inhibitors,D27.505.519.389
19072163,2009-01-08T00:00:00,Mitochondria,A11.284.430.214.190.875.564
19072163,2009-01-08T00:00:00,Mitochondria,A11.284.835.626
19072163,2009-01-08T00:00:00,Peptides,D12.644
19072163,2009-01-08T00:00:00,Rabbits,B01.050.150.900.649.521.700
19131940,2009-01-08T00:00:00,Adolescent,M01.060.057
19131940,2009-01-08T00:00:00,Adult,M01.060.116
19131940,2009-01-08T00:00:00,Aged,M01.060.116.100
19131940,2009-01-08T00:00:00,Blood Glucose,D09.546.359.448.500
19131940,2009-01-08T00:00:00,Cardiovascular Diseases,C14
19131940,2009-01-08T00:00:00,Coronary Disease,C14.280.647.250
19131940,2009-01-08T00:00:00,Coronary Disease,C14.907.585.250
19131940,2009-01-08T00:00:00,"Hemoglobin A, Glycosylated",D09.408.375
19131940,2009-01-08T00:00:00,"Hemoglobin A, Glycosylated",D12.776.124.400.405.440
19131940,2009-01-08T00:00:00,"Hemoglobin A, Glycosylated",D12.776.422.316.762.380.440
19131940,2009-01-08T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19131940,2009-01-08T00:00:00,Incidence,E05.318.308.985.525.375
19131940,2009-01-08T00:00:00,Incidence,L01.280.975.525.375
19131940,2009-01-08T00:00:00,Incidence,N01.224.935.597.500
19131940,2009-01-08T00:00:00,Incidence,N06.850.505.400.975.525.375
19131940,2009-01-08T00:00:00,Incidence,N06.850.520.308.985.525.375
19131940,2009-01-08T00:00:00,Middle Aged,M01.060.116.630
19131940,2009-01-08T00:00:00,Risk Factors,E05.318.740.600.800.725
19131940,2009-01-08T00:00:00,Risk Factors,N05.715.350.200.700
19131940,2009-01-08T00:00:00,Risk Factors,N05.715.360.750.625.700.700
19131940,2009-01-08T00:00:00,Risk Factors,N06.850.490.625.750
19131940,2009-01-08T00:00:00,Risk Factors,N06.850.520.830.600.800.725
19131940,2009-01-08T00:00:00,Stroke,C10.228.140.300.775
19131940,2009-01-08T00:00:00,Stroke,C14.907.253.855
19131940,2009-01-08T00:00:00,Young Adult,M01.060.116.815
19132495,2009-01-08T00:00:00,Adult,M01.060.116
19132495,2009-01-08T00:00:00,Graft Rejection,G12.425.901.545.328
19132495,2009-01-08T00:00:00,Heart Transplantation,E04.100.376.475
19132495,2009-01-08T00:00:00,Heart Transplantation,E04.928.220.390
19132495,2009-01-08T00:00:00,Heart Transplantation,E04.936.450.475
19132495,2009-01-08T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19132495,2009-01-08T00:00:00,Radiation Dosage,E05.799.513
19132495,2009-01-08T00:00:00,Radiation Dosage,G01.201.875.740
19132495,2009-01-08T00:00:00,Radiation Dosage,N06.850.810.250
19132495,2009-01-08T00:00:00,"Radiotherapy, Intensity-Modulated",E02.815.635.700.700
19132495,2009-01-08T00:00:00,"Radiotherapy, Intensity-Modulated",L01.700.508.100.710.600.550.700
19132495,2009-01-08T00:00:00,"Tomography, Spiral Computed",E01.370.350.350.810.800
19132495,2009-01-08T00:00:00,"Tomography, Spiral Computed",E01.370.350.600.350.700.810.800
19132495,2009-01-08T00:00:00,"Tomography, Spiral Computed",E01.370.350.700.700.810.800
19132495,2009-01-08T00:00:00,"Tomography, Spiral Computed",E01.370.350.700.810.810.800
19132495,2009-01-08T00:00:00,"Tomography, Spiral Computed",E01.370.350.825.810.810.800
19132495,2009-01-08T00:00:00,Transplantation Conditioning,E02.095.465.425.450.800
19132495,2009-01-08T00:00:00,Transplantation Conditioning,E05.478.610.800
19133135,2009-01-08T00:00:00,Animals,B01.050
19133135,2009-01-08T00:00:00,Cell Line,A11.251.210
19133135,2009-01-08T00:00:00,Clonal Anergy,G12.425.746.425.100
19133135,2009-01-08T00:00:00,Gene Expression Regulation,G05.355.315
19133135,2009-01-08T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19133135,2009-01-08T00:00:00,Immune Tolerance,G12.425.746.425
19133135,2009-01-08T00:00:00,Vaccines,D20.215.894
19479009,2009-01-09T00:00:00,Animals,B01.050
19479009,2009-01-09T00:00:00,Autoimmune Diseases,C20.111
19479009,2009-01-09T00:00:00,Environmental Exposure,N06.850.460.350
19479009,2009-01-09T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19479009,2009-01-09T00:00:00,Immune System,A15.382
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.644.276.374.440.893
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.644.276.374.480.350
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.644.276.374.480.615.350
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.644.276.718.550
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.776.467.374.440.893
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.776.467.374.480.350
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.776.467.374.480.615.350
19479009,2009-01-09T00:00:00,Interferon-gamma,D12.776.467.718.550
19479009,2009-01-09T00:00:00,Interferon-gamma,D23.529.374.440.893
19479009,2009-01-09T00:00:00,Interferon-gamma,D23.529.374.480.350
19479009,2009-01-09T00:00:00,Interferon-gamma,D23.529.374.480.615.350
19479009,2009-01-09T00:00:00,Interferon-gamma,D23.529.718.550
19479009,2009-01-09T00:00:00,Interleukin-4,D12.644.276.374.465.504
19479009,2009-01-09T00:00:00,Interleukin-4,D12.776.467.374.465.504
19479009,2009-01-09T00:00:00,Interleukin-4,D23.529.374.465.504
19479009,2009-01-09T00:00:00,"Scleroderma, Systemic",C17.300.799
19479009,2009-01-09T00:00:00,"Scleroderma, Systemic",C17.800.784
19479009,2009-01-09T00:00:00,Trichloroethylene,D02.455.526.439.939
19479009,2009-01-09T00:00:00,"Water Pollutants, Chemical",D27.888.284.903.655
19136111,2009-01-10T00:00:00,Adult,M01.060.116
19136111,2009-01-10T00:00:00,"Cholangiopancreatography, Endoscopic Retrograde",E01.370.350.700.715.200.200
19136111,2009-01-10T00:00:00,"Cholangiopancreatography, Endoscopic Retrograde",E01.370.372.200.200
19136111,2009-01-10T00:00:00,"Cholangiopancreatography, Endoscopic Retrograde",E01.370.372.250.200
19136111,2009-01-10T00:00:00,"Cholangiopancreatography, Endoscopic Retrograde",E01.370.388.250.250.160
19136111,2009-01-10T00:00:00,"Cholangiopancreatography, Endoscopic Retrograde",E04.210.240.160
19136111,2009-01-10T00:00:00,"Cholangiopancreatography, Endoscopic Retrograde",E04.800.250.250.160
19136111,2009-01-10T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
19136111,2009-01-10T00:00:00,Pregnancy,G08.686.785.760.769
19136111,2009-01-10T00:00:00,Pregnancy Complications,C13.703
19136971,2009-01-11T00:00:00,Acetylcysteine,D02.886.030.230.259
19136971,2009-01-11T00:00:00,Acetylcysteine,D12.125.166.230.259
19136971,2009-01-11T00:00:00,Animals,B01.050
19136971,2009-01-11T00:00:00,"Behavior, Animal",F01.145.113
19136971,2009-01-11T00:00:00,Cocaine-Related Disorders,C21.739.300
19136971,2009-01-11T00:00:00,Cocaine-Related Disorders,F03.900.300
