pmid,year,mesh,meshTreeNumber
23281597,2013-01-02T00:00:00,Analgesia,E03.091
23281597,2013-01-02T00:00:00,Anesthesia,E03.155
23281597,2013-01-02T00:00:00,Animals,B01.050
23281597,2013-01-02T00:00:00,"Pain, Postoperative",C23.550.767.700
23281597,2013-01-02T00:00:00,"Pain, Postoperative",C23.888.646.530
23281597,2013-01-02T00:00:00,Perioperative Care,E02.760.722
23281597,2013-01-02T00:00:00,Perioperative Care,E04.604
23281597,2013-01-02T00:00:00,Perioperative Care,N02.421.585.722
23281597,2013-01-02T00:00:00,Swine,B01.050.150.900.649.077.880
23281597,2013-01-02T00:00:00,"Swine, Miniature",B01.050.150.900.649.077.880.399.800
23283355,2013-01-02T00:00:00,Animals,B01.050
23283355,2013-01-02T00:00:00,Bayes Theorem,E05.318.740.600.200
23283355,2013-01-02T00:00:00,Bayes Theorem,N05.715.360.750.625.150
23283355,2013-01-02T00:00:00,Bayes Theorem,N06.850.520.830.600.200
23283355,2013-01-02T00:00:00,Cell Line,A11.251.210
23283355,2013-01-02T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
23283355,2013-01-02T00:00:00,"Models, Biological",E05.599.395
23283355,2013-01-02T00:00:00,Peptide Fragments,D12.644.541
23283355,2013-01-02T00:00:00,Podocytes,A05.810.453.324.359.720
23283355,2013-01-02T00:00:00,Podocytes,A05.810.453.736.520.720
23283355,2013-01-02T00:00:00,Podocytes,A11.436.720
23283355,2013-01-02T00:00:00,Renin-Angiotensin System,G03.495.805
23283355,2013-01-02T00:00:00,Renin-Angiotensin System,G09.330.190.400.750
23283355,2013-01-02T00:00:00,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",E05.196.566.755
23284071,2013-01-02T00:00:00,Aged,M01.060.116.100
23284071,2013-01-02T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
23284071,2013-01-02T00:00:00,Incidence,E05.318.308.985.525.375
23284071,2013-01-02T00:00:00,Incidence,L01.280.975.525.375
23284071,2013-01-02T00:00:00,Incidence,N01.224.935.597.500
23284071,2013-01-02T00:00:00,Incidence,N06.850.505.400.975.525.375
23284071,2013-01-02T00:00:00,Incidence,N06.850.520.308.985.525.375
23284071,2013-01-02T00:00:00,Risk Factors,E05.318.740.600.800.725
23284071,2013-01-02T00:00:00,Risk Factors,N05.715.350.200.700
23284071,2013-01-02T00:00:00,Risk Factors,N05.715.360.750.625.700.700
23284071,2013-01-02T00:00:00,Risk Factors,N06.850.490.625.750
23284071,2013-01-02T00:00:00,Risk Factors,N06.850.520.830.600.800.725
23284071,2013-01-02T00:00:00,Stroke,C10.228.140.300.775
23284071,2013-01-02T00:00:00,Stroke,C14.907.253.855
23290460,2013-01-02T00:00:00,Gastric Bypass,E02.065.062.249
23290460,2013-01-02T00:00:00,Gastric Bypass,E04.035.398.385
23290460,2013-01-02T00:00:00,Gastric Bypass,E04.062.249
23290460,2013-01-02T00:00:00,Gastric Bypass,E04.210.457.430
23290460,2013-01-02T00:00:00,Heart Transplantation,E04.100.376.475
23290460,2013-01-02T00:00:00,Heart Transplantation,E04.928.220.390
23290460,2013-01-02T00:00:00,Heart Transplantation,E04.936.450.475
23290460,2013-01-02T00:00:00,Heart-Assist Devices,E04.050.430
23290460,2013-01-02T00:00:00,Heart-Assist Devices,E07.695.300.300
23290460,2013-01-02T00:00:00,Heart-Assist Devices,E07.858.082.374.300
23290460,2013-01-02T00:00:00,Humans,B01.050.150.900.649.801.400.112.400.400
23290460,2013-01-02T00:00:00,Laparoscopy,E01.370.388.250.520
23290460,2013-01-02T00:00:00,Laparoscopy,E04.800.250.520
