year,pmid,author,coauthor,apid,cpid
2011-01-04T00:00:00,21204569,Apparao M. Rao,William T Pennington,4468,4479
2011-01-04T00:00:00,21204569,Apparao M. Rao,Colin D Mcmillen,4468,4499
2011-01-04T00:00:00,21204569,Apparao M. Rao,Emil Georgiev Alexov,4468,4520
2011-01-04T00:00:00,21204569,Apparao M. Rao,Jian  He,4468,4584
2011-01-04T00:00:00,21204569,Apparao M. Rao,Richard K Marcus,4468,4655
2011-01-04T00:00:00,21204569,Apparao M. Rao,Shiou-jyh  Hwu,4468,4737
2011-01-04T00:00:00,21204569,Apparao M. Rao,Sumanta  Tewari,4468,4752
2011-01-04T00:00:00,21204569,Apparao M. Rao,Terry M Tritt,4468,4765
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Aiping  Bai,1854,1806
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Alicja  Bielawska,1854,1855
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Lauren Ashley Cowart,1854,2012
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Tatyana Ivan Gudz,1854,2234
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Yi-te  Hsu,1854,2335
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Jacqueline M. Kraveka,1854,2477
2011-01-05T00:00:00,21209394,Jacek  Bielawski,James Scott Norris,1854,2759
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Paul Edward O'brien,1854,2768
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Besim  Ogretmen,1854,2772
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Zdzislaw  Szulc,1854,3131
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Hong  Yu,1854,3574
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Mehrdad  Rahmaniyan,1854,4123
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Salih  Gencer,1854,4129
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Wei  Sun,1854,4146
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Michael Steven Valerio,1854,4245
2011-01-05T00:00:00,21209394,Jacek  Bielawski,Joshua  Oaks,1854,4349
2011-01-05T00:00:00,21209394,Keisuke  Shirai,John  Lazarchick,3017,2520
2011-01-05T00:00:00,21209394,Keisuke  Shirai,Meenal  Mehrotra,3017,2649
2011-01-05T00:00:00,21209394,Keisuke  Shirai,Paul Edward O'brien,3017,2768
2011-01-05T00:00:00,21209394,Keisuke  Shirai,Anand K. Sharma,3017,3007
2011-01-05T00:00:00,21209394,Keisuke  Shirai,Carol A. Sherman,3017,3016
2011-01-05T00:00:00,21209394,Keisuke  Shirai,Ira R. Willner,3017,3279
2011-01-06T00:00:00,21209625,Hainan  Lang,Richard A. Schmiedt,2507,2972
2011-01-06T00:00:00,21209625,Hainan  Lang,Bradley A. Schulte,2507,2980
2011-01-06T00:00:00,21209625,Hainan  Lang,Gavin Yong Wang,2507,3241
2011-01-06T00:00:00,21209625,Hainan  Lang,Devadoss J. Samuvel,2507,4130
2011-01-06T00:00:00,21209625,Hainan  Lang,Yazhi  Xing,2507,4167
2011-01-06T00:00:00,21213206,John T. Huggins,Nicholas J. Pastis,2339,2754
2011-01-06T00:00:00,21213206,John T. Huggins,Chitra  Lal,2339,3383
2011-01-06T00:00:00,21215736,Natalia V. Oleinik,Kristi L. Helke,2773,2452
2011-01-06T00:00:00,21377805,Carla K. Danielson,Michael Andrew De Arellano,2037,2050
2011-01-06T00:00:00,21377805,Carla K. Danielson,Joan  Herbert,2037,2296
2011-01-06T00:00:00,21377805,Carla K. Danielson,Christopher G. Pelic,2037,2805
2011-01-06T00:00:00,21377805,Carla K. Danielson,Alyssa A. Rheingold,2037,2885
2011-01-06T00:00:00,21377805,Carla K. Danielson,Kenneth J. Ruggiero,2037,2926
2011-01-06T00:00:00,21377805,Carla K. Danielson,Benjamin E. Saunders,2037,2955
2011-01-06T00:00:00,21377805,Carla K. Danielson,Mary Lou Shoemaker,2037,3019
2011-01-06T00:00:00,21377805,Carla K. Danielson,Cristina M. Lopez,2037,3630
2011-01-06T00:00:00,21377805,Carla K. Danielson,Janice M. Hazy,2037,3661
2011-01-06T00:00:00,21377805,Carla K. Danielson,Tatiana M. Davidson,2037,3763
2011-01-06T00:00:00,21377805,Carla K. Danielson,Zachary W. Adams,2037,4300
2011-01-06T00:00:00,21377805,Rochelle F. Hanson,Connie Lee Best,2261,1851
2011-01-06T00:00:00,21377805,Rochelle F. Hanson,Benjamin E. Saunders,2261,2955
2011-01-06T00:00:00,21377805,Rochelle F. Hanson,Mary Lou Shoemaker,2261,3019
2011-01-06T00:00:00,21377805,Rochelle F. Hanson,Daniel W. Smith,2261,3051
2011-01-06T00:00:00,21377805,Rochelle F. Hanson,Janice M. Hazy,2261,3661
2011-01-06T00:00:00,21377805,Rochelle F. Hanson,Grace Sheila Hubel,2261,4335
2011-01-06T00:00:00,21377805,Dean G. Kilpatrick,Ronald E. Acierno,2443,1733
2011-01-06T00:00:00,21377805,Dean G. Kilpatrick,Connie Lee Best,2443,1851
2011-01-06T00:00:00,21377805,Dean G. Kilpatrick,Constance  Guille,2443,1996
2011-01-06T00:00:00,21377805,Dean G. Kilpatrick,Carla K. Danielson,2443,2037
2011-01-06T00:00:00,21377805,Dean G. Kilpatrick,Michael Andrew De Arellano,2443,2050
2011-01-06T00:00:00,21377805,Dean G. Kilpatrick,Rochelle F. Hanson,2443,2261
