year,pmid,author,coauthor,apid,cpid
2006-01-04T00:00:00,16395289,Edward C. Jauch,Aquilla Scott Turk,2105,1789
2006-01-04T00:00:00,16395289,Edward C. Jauch,Christine A. Holmstedt,2105,1924
2006-01-04T00:00:00,16395289,Edward C. Jauch,Christine M. Carr,2105,1938
2006-01-04T00:00:00,16395289,Edward C. Jauch,Julio Alejandro Chalela,2105,1951
2006-01-04T00:00:00,16395289,Edward C. Jauch,Yuko Y. Palesch,2105,2792
2006-01-04T00:00:00,16395289,Edward C. Jauch,Raymond Dwight Turner,2105,2862
2006-01-04T00:00:00,16395289,Edward C. Jauch,Robert Joseph Adams,2105,2894
2006-01-04T00:00:00,16395289,Edward C. Jauch,Steven H. Saef,2105,2934
2006-01-04T00:00:00,16395289,Edward C. Jauch,Sharon Dziuba Yeatts,2105,3306
2006-01-04T00:00:00,16395289,Edward C. Jauch,Yefim  Manevich,2105,3307
2006-01-04T00:00:00,16395289,Edward C. Jauch,Charles Martin Andrews,2105,3391
2006-01-04T00:00:00,16395289,Edward C. Jauch,Holly Judith Tillman,2105,3441
2006-01-04T00:00:00,16395289,Edward C. Jauch,Alejandro Marin Spiotta,2105,3609
2006-01-04T00:00:00,16395289,Edward C. Jauch,Jenifer Haskill Voeks,2105,3674
2006-01-04T00:00:00,16395289,Edward C. Jauch,Shelly Dawn Ozark,2105,3741
2006-01-04T00:00:00,16399687,Thomas Clayton Jhou,Carlos A. Blanco-centurion,3150,3333
2006-01-04T00:00:00,16399687,Thomas Clayton Jhou,Priyattam J. Shiromani,3150,3334
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Michael Lawrence Craig,2023,2017
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Fred A. Crawford,2023,2018
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Grady H. Hendrix,2023,2292
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,John M. Kratz,2023,2475
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Robert M. Sade,2023,2933
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Joseph J. Sistino,2023,3038
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Martha R. Stroud,2023,3107
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,John M. Toole,2023,3169
2006-01-04T00:00:00,16461051,Arthur Jackson Crumbley,Adrian B. Vanbakel,2023,3201
2006-01-04T00:00:00,16461051,Michael R. Gold,Salvatore  Chiaramida,2209,1971
2006-01-04T00:00:00,16461051,Michael R. Gold,Frank A. Cuoco,2209,2030
2006-01-04T00:00:00,16461051,Michael R. Gold,Valerian  Fernandes,2209,2151
2006-01-04T00:00:00,16461051,Michael R. Gold,Nancy Judson Finch,2209,2155
2006-01-04T00:00:00,16461051,Michael R. Gold,David  Gregg,2209,2226
2006-01-04T00:00:00,16461051,Michael R. Gold,Robert B. Leman,2209,2534
2006-01-04T00:00:00,16461051,Michael R. Gold,Rupak D. Mukherjee,2209,2720
2006-01-04T00:00:00,16461051,Michael R. Gold,Christopher D. Nielsen,2209,2750
2006-01-04T00:00:00,16461051,Michael R. Gold,John L. Sturdivant,2209,3112
2006-01-04T00:00:00,16461051,Michael R. Gold,Marian H. Taylor,2209,3140
2006-01-04T00:00:00,16461051,Michael R. Gold,John Marcus Wharton,2209,3264
2006-01-04T00:00:00,16461051,Michael R. Gold,Dannah W. Wray,2209,3295
2006-01-04T00:00:00,16461051,Michael R. Gold,Eva R. Serber,2209,3548
2006-01-04T00:00:00,16461051,Michael R. Gold,Anil B. Rajendra,2209,3796
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Jeremy L. Barth,2349,1825
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Chadrick E. Denlinger,2349,1963
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Michael Lawrence Craig,2349,2017
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Fred A. Crawford,2349,2018
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Arthur Jackson Crumbley,2349,2023
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Daniel H. Steinberg,2349,2064
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Jeffrey A. Jones,2349,2400
2006-01-04T00:00:00,16461051,John S. Ikonomidis,John M. Kratz,2349,2475
2006-01-04T00:00:00,16461051,John S. Ikonomidis,Minoo  Kavarana,2349,2666
